,Row,Create,Use,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id
0,13504,0,0,0,0,0,0,code start,3FpaT.dvhgX8t5jm,3
1,13519,0,0,0,1,0,0,"doRepeat([literal=10], script)",3FpaT.dvhgX8t5jm,3
2,13540,0,0,0,3,0,0,"doRepeat([literal=4], script!!!!! {forward([literal=100] turn([literal=90])",3FpaT.dvhgX8t5jm,3
3,13558,0,0,1,3,0,0,down,3FpaT.dvhgX8t5jm,3
4,13666,0,0,1,3,0,1,  [!!!!!customBlock=Draw a Square] {,3FpaT.dvhgX8t5jm,3
5,13850,1,0,1,3,0,1, [varDec=Size],3FpaT.dvhgX8t5jm,3
6,13853,1,1,1,4,0,1,forward([!!!!!var=Size]),3FpaT.dvhgX8t5jm,3
7,13906,2,1,1,4,0,1,[varDec=Sides],3FpaT.dvhgX8t5jm,3
8,13907,2,1,1,4,0,1,[varDec=Thickness],3FpaT.dvhgX8t5jm,3
9,13932,3,1,2,4,0,1,setSize([literal=1]),3FpaT.dvhgX8t5jm,3
10,13935,3,2,3,4,0,1,setSize([!!!!!var=Thickness]),3FpaT.dvhgX8t5jm,3
11,13949,3,2,3,5,0,1,"      doRepeat([var=Sides], script!!!!! { forward([literal=10])})",3FpaT.dvhgX8t5jm,3
12,13967,3,2,3,5,1,1,"turn(!!!!!reportQuotient(literal, literal))",3FpaT.dvhgX8t5jm,3
13,13970,3,2,3,5,2,1,"turn(reportQuotient(!!!!![literal=360], literal))",3FpaT.dvhgX8t5jm,3
14,13971,3,2,3,6,3,1,"turn(reportQuotient([literal=360], !!!!![var=Sides]))",3FpaT.dvhgX8t5jm,3
