,Row,Create,Use,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id
0,66471,0,0,0,0,0,0,code start,UqxkppJLAsrx8Ufy,22
1,66479,0,0,0,0,0,1,  [customBlock=draw a square] {,UqxkppJLAsrx8Ufy,22
2,66485,1,0,0,0,0,1,     [varDec=size],UqxkppJLAsrx8Ufy,22
3,66495,1,0,1,0,0,1, down,UqxkppJLAsrx8Ufy,22
4,66499,1,0,1,1,0,1, repeat,UqxkppJLAsrx8Ufy,22
5,66504,1,0,1,2,0,1, forward,UqxkppJLAsrx8Ufy,22
6,66507,1,0,1,3,0,1,turn,UqxkppJLAsrx8Ufy,22
7,66511,1,1,1,4,0,1,        forward([var=size]),UqxkppJLAsrx8Ufy,22
8,66546,1,1,2,4,0,1, setSize([literal=1]),UqxkppJLAsrx8Ufy,22
9,66547,2,1,2,4,0,1,    [varDec=pen size],UqxkppJLAsrx8Ufy,22
10,66552,2,2,3,4,0,1,      setSize([var=pen size]),UqxkppJLAsrx8Ufy,22
11,66567,3,2,3,4,0,1,varDec = sides,UqxkppJLAsrx8Ufy,22
12,66582,3,3,3,5,0,1,repeat(sides),UqxkppJLAsrx8Ufy,22
13,66756,3,3,3,5,1,1,"turn(!!!!!reportQuotient(literal, literal))",UqxkppJLAsrx8Ufy,22
14,66759,3,3,3,5,2,1,"turn(!!!!!reportQuotient(360, literal))",UqxkppJLAsrx8Ufy,22
15,66760,3,4,3,6,3,1,"turn(!!!!!reportQuotient(360, sides))",UqxkppJLAsrx8Ufy,22
