,Row,Create,Use,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id
0,61916,0,0,0,0,0,0,code start,TMT3QdbdhzQwpT8q,21
1,61926,1,0,0,0,0,0,[varDec=length],TMT3QdbdhzQwpT8q,21
2,61940,1,0,1,0,0,0,down,TMT3QdbdhzQwpT8q,21
3,61952,1,1,1,0,0,0,forward(!!!!![var=length]),TMT3QdbdhzQwpT8q,21
4,62017,1,1,1,0,0,1,customBlock=square] ,TMT3QdbdhzQwpT8q,21
5,62050,1,1,1,1,0,1,"doRepeat([literal=10], script)",TMT3QdbdhzQwpT8q,21
6,62061,1,1,1,2,0,1,forward in repeat,TMT3QdbdhzQwpT8q,21
7,62065,1,1,1,3,0,1,turn in repeat,TMT3QdbdhzQwpT8q,21
8,62300,2,1,1,3,0,1,  [varDec=penthcikness],TMT3QdbdhzQwpT8q,21
9,62398,3,2,1,4,0,1, forward([var=length]) in doRepeat,TMT3QdbdhzQwpT8q,21
10,62403,3,2,1,5,0,1,"doRepeat([!!!!!var=sides], sc",TMT3QdbdhzQwpT8q,21
11,62407,3,2,1,5,1,1,"        turn(!!!!!reportQuotient(literal, literal))",TMT3QdbdhzQwpT8q,21
12,62410,3,2,1,5,2,1,"        turn(reportQuotient(!!!!![literal=360], literal))",TMT3QdbdhzQwpT8q,21
13,62411,3,3,1,6,3,1,"        turn(reportQuotient([literal=360], !!!!![var=sides]))",TMT3QdbdhzQwpT8q,21
