,Row,Create,Use,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id
0,38310,0,0,0,0,0,0, code start,HST/EkWzP3RZoSB6,13
1,38318,0,0,0,1,0,0,"doRepeat([literal=10], script)",HST/EkWzP3RZoSB6,13
2,38344,0,0,1,1,0,0,down,HST/EkWzP3RZoSB6,13
3,38356,0,0,1,2,0,0,turn,HST/EkWzP3RZoSB6,13
4,38456,0,0,1,2,0,1,customBlock=draw a square],HST/EkWzP3RZoSB6,13
5,38458,1,0,1,2,0,1,  [varDec=size],HST/EkWzP3RZoSB6,13
6,38535,1,1,1,4,0,1,forward([!!!!!var=size]),HST/EkWzP3RZoSB6,13
7,38660,1,1,2,4,0,1,    setSize(1),HST/EkWzP3RZoSB6,13
8,38661,2,1,2,4,0,1,    setSize(1);  [varDec=Thickness],HST/EkWzP3RZoSB6,13
9,38666,2,2,3,4,0,1,      !!!!!setSize([var=Thickness]),HST/EkWzP3RZoSB6,13
10,38674,2,2,3,4,1,1," turn(!!!!!reportQuotient(literal, literal))",HST/EkWzP3RZoSB6,13
11,38675,2,2,3,4,2,1," turn(reportQuotient(!!!!![literal=360], literal))",HST/EkWzP3RZoSB6,13
12,38676,3,2,3,4,2,1,    [varDec=Sides],HST/EkWzP3RZoSB6,13
13,38679,3,3,3,4,3,1,"not in repeat block: turn(reportQuotient([literal=360], !!!!![var=Sides]))",HST/EkWzP3RZoSB6,13
14,38771,3,4,3,6,3,1,"  doRepeat([!!!!!var=Sides], ",HST/EkWzP3RZoSB6,13
