,Row,Pcreate,Puse,Vcreate,Vuse,Update,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id
0,62542,0,0,0,0,0,0,0,0,0, codestart,TMT3QdbdhzQwpT8q,21
1,62545,0,0,0,0,0,0,0,0,1, customBlock,TMT3QdbdhzQwpT8q,21
2,62561,1,0,0,0,0,0,0,0,1,    [varDec=Number of Rotations],TMT3QdbdhzQwpT8q,21
3,62577,1,0,0,0,0,1,0,0,1,    down,TMT3QdbdhzQwpT8q,21
4,62668,1,0,0,0,0,1,1,0,1, dorepeat,TMT3QdbdhzQwpT8q,21
5,62691,1,1,0,0,0,1,1,0,1,     [varDec=Number of Rotations]t,TMT3QdbdhzQwpT8q,21
6,62695,1,1,0,0,0,1,2,0,1,  forward in repeat,TMT3QdbdhzQwpT8q,21
7,62698,1,1,0,0,0,1,3,0,1,  turn in repeat,TMT3QdbdhzQwpT8q,21
8,62701,1,1,0,0,0,1,4,0,1,Turn 90,TMT3QdbdhzQwpT8q,21
9,63257,2,1,0,0,0,1,4,0,1,  [varDec=Length],TMT3QdbdhzQwpT8q,21
10,63144,2,1,0,0,0,1,5,0,1,dochangevar,TMT3QdbdhzQwpT8q,21
11,63358,2,2,0,0,0,1,6,0,1,     forward([var=length]),TMT3QdbdhzQwpT8q,21
12,63745,2,2,0,0,1,1,7,1,1,correct dochangevar,TMT3QdbdhzQwpT8q,21
13,63792,2,2,0,0,1,1,7,1,1,"end of code, did not succeed because rotation/side confusion",TMT3QdbdhzQwpT8q,21
