,Row,Pcreate,Puse,Vcreate,Vuse,Update,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id
0,31421,0,0,0,0,0,0,0,0,0,code start,AluUfNa8VMsQjoOu,9
1,31424,0,0,0,0,0,0,0,0,1, customBlock,AluUfNa8VMsQjoOu,9
2,31426,1,0,0,0,0,0,0,0,1, varDec=rotations,AluUfNa8VMsQjoOu,9
3,31427,1,1,0,0,0,0,0,0,1, varDec=rotations,AluUfNa8VMsQjoOu,9
4,31441,1,1,0,0,0,1,0,0,1, down,AluUfNa8VMsQjoOu,9
5,31445,1,1,0,0,0,1,1,0,1," doRepeat([literal=10], script)",AluUfNa8VMsQjoOu,9
6,31458,1,1,0,0,0,1,2,0,1,forward in repeat,AluUfNa8VMsQjoOu,9
7,31480,2,1,0,0,0,1,2,0,1,    [varDec=Size],AluUfNa8VMsQjoOu,9
8,31515,2,2,0,0,0,1,3,0,1,     forward([!!!!!var=Size]),AluUfNa8VMsQjoOu,9
9,31518,2,2,0,0,0,1,4,0,1,turn in repeat,AluUfNa8VMsQjoOu,9
10,31519,2,2,0,0,0,1,5,0,1,turn correct degrees,AluUfNa8VMsQjoOu,9
11,31596,2,2,0,0,1,1,7,0,1," doChangeVar([varMenu=Size], [literal=2]) in repeat",AluUfNa8VMsQjoOu,9
12,31624,2,2,0,0,1,1,7,0,1,"code end, did not succeed",AluUfNa8VMsQjoOu,9
