,Row,Create,Use,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id,Timespent
0,66471,0,0,0,0,0,0,code start,UqxkppJLAsrx8Ufy,22,0.0
1,66479,0,0,0,0,0,1,  [customBlock=draw a square] {,UqxkppJLAsrx8Ufy,22,416.0
2,66485,1,0,0,0,0,1,     [varDec=size],UqxkppJLAsrx8Ufy,22,567.0
3,66495,1,0,1,0,0,1, down,UqxkppJLAsrx8Ufy,22,599.0
4,66499,1,0,1,1,0,1, repeat,UqxkppJLAsrx8Ufy,22,613.0
5,66504,1,0,1,2,0,1, forward,UqxkppJLAsrx8Ufy,22,619.0
6,66507,1,0,1,3,0,1,turn,UqxkppJLAsrx8Ufy,22,667.0
7,66511,1,1,1,4,0,1,        forward([var=size]),UqxkppJLAsrx8Ufy,22,707.0
8,66546,1,1,2,4,0,1, setSize([literal=1]),UqxkppJLAsrx8Ufy,22,1937.0
9,66547,2,1,2,4,0,1,    [varDec=pen size],UqxkppJLAsrx8Ufy,22,1938.0
10,66552,2,2,3,4,0,1,      setSize([var=pen size]),UqxkppJLAsrx8Ufy,22,1963.0
11,66567,3,2,3,4,0,1,varDec = sides,UqxkppJLAsrx8Ufy,22,2027.0
12,66582,3,3,3,5,0,1,repeat(sides),UqxkppJLAsrx8Ufy,22,2132.0
13,66756,3,3,3,5,1,1,"turn(!!!!!reportQuotient(literal, literal))",UqxkppJLAsrx8Ufy,22,2769.0
14,66759,3,3,3,5,2,1,"turn(!!!!!reportQuotient(360, literal))",UqxkppJLAsrx8Ufy,22,2770.0
15,66760,3,4,3,6,3,1,"turn(!!!!!reportQuotient(360, sides))",UqxkppJLAsrx8Ufy,22,2777.0
