,Row,Create,Use,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id,Timespent
0,51036,0,0,0,0,0,0,code start,Pq4VvsKwoQunyf2C,18,0.0
1,51050,0,0,0,0,0,1,customBlock=square] ,Pq4VvsKwoQunyf2C,18,134.0
2,51222,0,0,1,0,0,1,down,Pq4VvsKwoQunyf2C,18,358.0
3,51269,0,0,2,0,0,1,etSize([literal=1]) ,Pq4VvsKwoQunyf2C,18,1953.0
4,51274,0,0,2,1,0,1,"oRepeat([literal=10], script)",Pq4VvsKwoQunyf2C,18,1979.0
5,51535,1,0,2,1,0,1,    [varDec=thickness] ,Pq4VvsKwoQunyf2C,18,2805.0
6,51567,2,0,2,1,0,1,   [varDec=side length],Pq4VvsKwoQunyf2C,18,2942.0
7,51570,2,1,2,1,0,1,      forward([!!!!!var=side length]),Pq4VvsKwoQunyf2C,18,2985.0
8,51579,2,1,2,4,0,1,repeat(forward(length) turn),Pq4VvsKwoQunyf2C,18,3020.0
9,51581,3,1,2,4,0,1,  [varDec=number of sides],Pq4VvsKwoQunyf2C,18,3030.0
10,51593,3,2,2,5,1,1,"  turn(reportQuotient(literal, literal))",Pq4VvsKwoQunyf2C,18,3309.0
11,51595,3,2,2,5,2,1,"  turn(reportQuotient(literal = 360, literal))",Pq4VvsKwoQunyf2C,18,3311.0
12,51599,3,3,2,6,3,1,"  turn(reportQuotient(literal = 360, var= side length))",Pq4VvsKwoQunyf2C,18,3352.0
13,51954,3,4,3,6,3,1,       setSize([var=thickness]),Pq4VvsKwoQunyf2C,18,3955.0
