,Row,Create,Use,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id,Timespent
0,55771,0,0,0,0,0,0,code start,QgWvIWV/mT.GFG1G,19,0.0
1,55784,0,0,0,0,0,1,  [customBlock=Draw a square] {,QgWvIWV/mT.GFG1G,19,210.0
2,55793,0,0,1,0,0,1, down,QgWvIWV/mT.GFG1G,19,339.0
3,55798,0,0,1,1,0,1," doRepeat([literal=10], script)",QgWvIWV/mT.GFG1G,19,357.0
4,55802,0,0,1,2,0,1,forward in repeat,QgWvIWV/mT.GFG1G,19,368.0
5,55806,0,0,1,3,0,1,turn in repeat,QgWvIWV/mT.GFG1G,19,372.0
6,55842,1,0,1,3,0,1, [varDec=Size],QgWvIWV/mT.GFG1G,19,722.0
7,55845,1,1,1,4,0,1,        forward([var=Size]),QgWvIWV/mT.GFG1G,19,737.0
8,55886,2,1,1,4,0,1,varDec=sides,QgWvIWV/mT.GFG1G,19,1243.0
9,55887,3,1,1,4,0,1,varDec=thickness,QgWvIWV/mT.GFG1G,19,1247.0
10,55916,3,2,1,5,0,1," doRepeat([var=Sides], s",QgWvIWV/mT.GFG1G,19,1355.0
11,55923,3,2,2,5,0,1, setSize([literal=1]),QgWvIWV/mT.GFG1G,19,1389.0
12,55926,3,3,3,5,0,1,   setSize([!!!!!var=Thickness]),QgWvIWV/mT.GFG1G,19,1401.0
13,56023,3,3,3,5,1,1,reportQuotient1,QgWvIWV/mT.GFG1G,19,2000.0
14,56028,3,3,3,5,2,1,reportQuotient2,QgWvIWV/mT.GFG1G,19,2010.0
15,56029,3,4,3,6,3,1,reportQuotient3,QgWvIWV/mT.GFG1G,19,2010.0
