,Row,Create,Use,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id,Timespent
0,48595,0,0,0,0,0,0,code start,PPk5/rm9dZ75c/z6,17,0.0
1,48621,0,0,1,0,0,0,down,PPk5/rm9dZ75c/z6,17,98.0
2,48790,2,0,1,0,0,1,  [customBlock=polygon %s %s!!!!! %s] { with 2 variables correctly defined,PPk5/rm9dZ75c/z6,17,1099.0
3,48792,3,0,1,0,0,1, varDec =sides,PPk5/rm9dZ75c/z6,17,1109.0
4,48800,3,0,2,0,0,1,         !!!!!setSize([literal=1]),PPk5/rm9dZ75c/z6,17,1139.0
5,48813,3,0,2,1,0,1,"doRepeat([literal=10], script)",PPk5/rm9dZ75c/z6,17,1202.0
6,48819,3,0,2,2,0,1,"doRepeat([literal=10], script) forward",PPk5/rm9dZ75c/z6,17,1210.0
7,48824,3,0,2,3,0,1,"doRepeat([literal=10], script) forward turn",PPk5/rm9dZ75c/z6,17,1227.0
8,48955,3,1,3,3,0,1,      setSize([!!!!!var=pen]),PPk5/rm9dZ75c/z6,17,1802.0
9,48968,3,2,3,4,0,1,"        doRepeat([var=sides], script!!!!! {",PPk5/rm9dZ75c/z6,17,1867.0
10,48971,3,3,3,5,0,1,        forward([!!!!!var=length]),PPk5/rm9dZ75c/z6,17,1903.0
11,49036,3,3,3,5,1,1,"         turn(!!!!!reportQuotient(literal, literal))",PPk5/rm9dZ75c/z6,17,2311.0
12,49037,3,3,3,5,2,1,"         turn(!!!!!reportQuotient(literal=360, literal))",PPk5/rm9dZ75c/z6,17,2319.0
13,49041,3,4,3,6,3,1,"         turn(!!!!!reportQuotient(literal=360, var=sides))",PPk5/rm9dZ75c/z6,17,2324.0
