,Row,Pcreate,Puse,Vcreate,Vuse,Update,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id,Timespent
0,43294,0,0,0,0,0,0,0,0,0,code start,LLwQhNG7oYLuVTm.,15,0.0
1,43301,0,0,0,0,0,0,0,0,1,customBlock,LLwQhNG7oYLuVTm.,15,231.0
2,43305,1,0,0,0,0,0,0,0,1, [varDec=sides],LLwQhNG7oYLuVTm.,15,273.0
3,43312,1,0,1,0,0,0,0,0,1,[varDec=legnth],LLwQhNG7oYLuVTm.,15,322.0
4,43418,1,1,1,1,0,1,2,0,1,"repeat with forward, var=sides",LLwQhNG7oYLuVTm.,15,725.0
5,43493,1,1,1,1,0,1,3,0,1,turn in repeat,LLwQhNG7oYLuVTm.,15,951.0
6,43522,1,1,1,1,0,1,4,0,1,turn correct degrees,LLwQhNG7oYLuVTm.,15,1026.0
7,43531,1,1,1,1,0,1,5,0,1,dochangevar in repeat,LLwQhNG7oYLuVTm.,15,1044.0
8,43534,1,1,1,1,1,1,6,0,1,dochangevar correct,LLwQhNG7oYLuVTm.,15,1072.0
9,43611,1,1,1,1,1,1,7,0,1,       forward([!!!!!var=legnth]),LLwQhNG7oYLuVTm.,15,1400.0
10,43663,1,1,2,1,1,1,7,0,1,"       doSetVar([varMenu=legnth], [literal=!!!!!10])",LLwQhNG7oYLuVTm.,15,1630.0
11,43723,1,1,2,1,1,1,7,0,1," end of code, did not succeed because of inputting sides instead of rotation",LLwQhNG7oYLuVTm.,15,1896.0
