,Row,Pcreate,Puse,Vcreate,Vuse,Update,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id,Timespent
0,40875,0,0,0,0,0,0,0,0,0,code start,JBLFjjNKww2oP3kS,14,0.0
1,40886,0,0,0,0,0,1,0,0,0,down,JBLFjjNKww2oP3kS,14,23.0
2,40890,0,0,0,0,0,1,1,0,0,repeat,JBLFjjNKww2oP3kS,14,37.0
3,40894,0,0,1,0,0,1,1,0,0,varDec=squirl,JBLFjjNKww2oP3kS,14,56.0
4,40901,0,0,1,0,0,1,2,0,0,forward in repeat,JBLFjjNKww2oP3kS,14,72.0
5,40902,0,0,1,0,0,1,3,0,0,turn in repeat,JBLFjjNKww2oP3kS,14,88.0
6,40903,0,0,1,0,0,1,4,0,0,turn correct degree,JBLFjjNKww2oP3kS,14,121.0
7,40953,0,0,1,0,0,1,4,0,1,customBlock,JBLFjjNKww2oP3kS,14,239.0
8,40992,0,0,1,1,0,1,5,0,1,forward(squirl),JBLFjjNKww2oP3kS,14,313.0
9,41114,1,1,1,1,0,1,5,0,1,    [varDec=rotaions],JBLFjjNKww2oP3kS,14,1151.0
10,41138,1,1,1,1,0,1,5,0,1,"  doRepeat([!!!!!var=rotaions], s",JBLFjjNKww2oP3kS,14,1322.0
11,41190,1,1,1,1,1,1,7,0,1,"        doChangeVar([varMenu=!!!!!length], [literal=10])",JBLFjjNKww2oP3kS,14,2024.0
12,41203,1,1,1,1,1,1,8,1,1,"   doRepeat(reportProduct([literal=4], !!!!![var=rotaions]), s",JBLFjjNKww2oP3kS,14,2056.0
13,41218,1,1,2,1,1,1,8,1,1,"doSetVar([varMenu=length], [literal=30]",JBLFjjNKww2oP3kS,14,2108.0
