,Row,Pcreate,Puse,Vcreate,Vuse,Update,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id,Timespent
0,52535,0,0,0,0,0,0,0,0,0,   code start,Pq4VvsKwoQunyf2C,18,0.0
1,52544,0,0,0,0,0,1,0,0,0,down,Pq4VvsKwoQunyf2C,18,31.0
2,52560,0,0,0,0,0,1,0,0,1,customBlock,Pq4VvsKwoQunyf2C,18,75.0
3,52576,1,0,0,0,0,1,0,0,1,    [varDec=Number of spirals],Pq4VvsKwoQunyf2C,18,120.0
4,52586,1,0,0,0,0,1,1,0,1,  dorepeat,Pq4VvsKwoQunyf2C,18,150.0
5,52597,1,1,0,0,0,1,2,1,1,"       doRepeat(reportProduct(!!!!![literal=4], [var=Number of spirals]), s",Pq4VvsKwoQunyf2C,18,198.0
6,52601,1,1,0,0,0,1,3,1,1,     forward in dorepeat,Pq4VvsKwoQunyf2C,18,203.0
7,52613,1,1,0,0,0,1,5,1,1,     turn 90 in dorepeat,Pq4VvsKwoQunyf2C,18,232.0
8,52616,1,1,1,0,0,1,5,1,1,[varDec=Length],Pq4VvsKwoQunyf2C,18,301.0
9,52619,1,1,1,1,0,1,6,1,1,forward(length),Pq4VvsKwoQunyf2C,18,308.0
10,52621,1,1,1,1,1,1,8,1,1,"        doChangeVar([varMenu=Length], [literal=!!!!!5])",Pq4VvsKwoQunyf2C,18,335.0
11,52722,1,1,1,1,1,1,8,1,1,"   end of code, did not succeed because not initialize length",Pq4VvsKwoQunyf2C,18,570891.0
