,Row,Pcreate,Puse,Vcreate,Vuse,Update,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id,Timespent
0,21808,0,0,0,0,0,0,0,0,0,code start,4lZnyzdZxnDjEsV.,6,0.0
1,21815,0,0,0,0,0,0,0,0,1,customBlock,4lZnyzdZxnDjEsV.,6,20.0
2,21820,1,0,0,0,0,0,0,0,1,   [varDec=sides],4lZnyzdZxnDjEsV.,6,67.0
3,21822,2,0,0,0,0,0,0,0,1,varDec=length,5lZnyzdZxnDjEsV.,6,86.0
4,21837,2,0,0,0,0,1,0,0,1,down,5lZnyzdZxnDjEsV.,6,136.0
5,21841,2,0,0,0,0,1,1,0,1,"doRepeat([literal=10], script)",5lZnyzdZxnDjEsV.,6,142.0
6,21844,2,1,0,0,0,1,1,0,1,"  doRepeat([!!!!!var=sides], script)",6lZnyzdZxnDjEsV.,6,149.0
7,21849,2,1,0,0,0,1,2,0,1,          forward([literal=10]),6lZnyzdZxnDjEsV.,6,155.0
8,21852,2,1,0,0,0,1,3,0,1,   turn in repeat,6lZnyzdZxnDjEsV.,6,162.0
9,21861,2,2,0,0,0,1,3,0,1,"  forward(reportProduct(!!!!![var=length], literal))",7lZnyzdZxnDjEsV.,6,181.0
10,21864,2,2,0,0,0,1,4,0,1,forward correct,7lZnyzdZxnDjEsV.,6,190.0
11,21866,2,2,0,0,0,1,5,1,1,"turn correct, correct repeat times",7lZnyzdZxnDjEsV.,6,195.0
12,21873,2,2,0,0,1,1,7,1,1,"doChangeVar([varMenu=multiplier], [literal=.2]) correct in repeat",8lZnyzdZxnDjEsV.,6,217.0
13,21953,2,2,0,0,1,1,7,1,1," code end, almost succeed, however, instead of input rotation, inputed sides",8lZnyzdZxnDjEsV.,6,151986.0
