,Row,Pcreate,Puse,Vcreate,Vuse,Update,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id,Timespent
0,31421,0,0,0,0,0,0,0,0,0,code start,AluUfNa8VMsQjoOu,9,0.0
1,31424,0,0,0,0,0,0,0,0,1, customBlock,AluUfNa8VMsQjoOu,9,183.0
2,31426,1,0,0,0,0,0,0,0,1, varDec=rotations,AluUfNa8VMsQjoOu,9,201.0
3,31427,1,1,0,0,0,0,0,0,1, varDec=rotations,AluUfNa8VMsQjoOu,9,201.0
4,31441,1,1,0,0,0,1,0,0,1, down,AluUfNa8VMsQjoOu,9,242.0
5,31445,1,1,0,0,0,1,1,0,1," doRepeat([literal=10], script)",AluUfNa8VMsQjoOu,9,618.0
6,31458,1,1,0,0,0,1,2,0,1,forward in repeat,AluUfNa8VMsQjoOu,9,1190.0
7,31480,2,1,0,0,0,1,2,0,1,    [varDec=Size],AluUfNa8VMsQjoOu,9,1405.0
8,31515,2,2,0,0,0,1,3,0,1,     forward([!!!!!var=Size]),AluUfNa8VMsQjoOu,9,5208.0
9,31518,2,2,0,0,0,1,4,0,1,turn in repeat,AluUfNa8VMsQjoOu,9,5212.0
10,31519,2,2,0,0,0,1,5,0,1,turn correct degrees,AluUfNa8VMsQjoOu,9,5229.0
11,31596,2,2,0,0,1,1,7,0,1," doChangeVar([varMenu=Size], [literal=2]) in repeat",AluUfNa8VMsQjoOu,9,5432.0
12,31624,2,2,0,0,1,1,7,0,1,"code end, did not succeed",AluUfNa8VMsQjoOu,9,239690.0
