,Row,Pcreate,Puse,Vcreate,Vuse,Update,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id,Timespent
0,62542,0,0,0,0,0,0,0,0,0, codestart,TMT3QdbdhzQwpT8q,21,0.0
1,62545,0,0,0,0,0,0,0,0,1, customBlock,TMT3QdbdhzQwpT8q,21,58.0
2,62561,1,0,0,0,0,0,0,0,1,    [varDec=Number of Rotations],TMT3QdbdhzQwpT8q,21,141.0
3,62577,1,0,0,0,0,1,0,0,1,    down,TMT3QdbdhzQwpT8q,21,616.0
4,62668,1,0,0,0,0,1,1,0,1, dorepeat,TMT3QdbdhzQwpT8q,21,931.0
5,62691,1,1,0,0,0,1,1,0,1,     [varDec=Number of Rotations]t,TMT3QdbdhzQwpT8q,21,1239.0
6,62695,1,1,0,0,0,1,2,0,1,  forward in repeat,TMT3QdbdhzQwpT8q,21,1253.0
7,62698,1,1,0,0,0,1,3,0,1,  turn in repeat,TMT3QdbdhzQwpT8q,21,1263.0
8,62701,1,1,0,0,0,1,4,0,1,Turn 90,TMT3QdbdhzQwpT8q,21,1265.0
9,63257,2,1,0,0,0,1,4,0,1,  [varDec=Length],TMT3QdbdhzQwpT8q,21,2723.0
10,63144,2,1,0,0,0,1,5,0,1,dochangevar,TMT3QdbdhzQwpT8q,21,2512.0
11,63358,2,2,0,0,0,1,6,0,1,     forward([var=length]),TMT3QdbdhzQwpT8q,21,3042.0
12,63745,2,2,0,0,1,1,7,1,1,correct dochangevar,TMT3QdbdhzQwpT8q,21,4230.0
13,63792,2,2,0,0,1,1,7,1,1,"end of code, did not succeed because rotation/side confusion",TMT3QdbdhzQwpT8q,21,4400.0
